x,y,z
114.907043,22.921172,445.093751
114.907129,22.921223,445.588493
114.907229,22.921259,446.421693
114.907335,22.92128,445.124952
114.907433,22.921271,445.014341
114.907546,22.921279,445.39409
114.90759,22.921186,444.46742
114.907673,22.921136,444.895454
114.907596,22.921079,446.102447
114.907605,22.920977,448.717692
114.907692,22.920928,452.881602
114.90779,22.920922,456.260507
114.907886,22.920948,460.609477
114.90798,22.92091,463.217728
114.908078,22.920878,464.164236
114.908133,22.9208,465.318247
114.908222,22.920749,468.426026
114.908317,22.920724,470.409878
114.908423,22.920713,472.014171
114.908524,22.920682,476.158831
114.908619,22.920651,478.521739
114.908709,22.920609,480.586888
114.908809,22.920617,484.822922
114.908913,22.920603,486.929465
114.909011,22.920595,489.101845
114.909088,22.920656,494.965354
114.909008,22.920718,497.265546
114.908921,22.920777,497.770988
114.908828,22.920819,499.446882
114.908762,22.920885,501.482084
114.908699,22.920955,503.253241
114.908666,22.921045,505.843619
114.908696,22.921134,508.323362
114.908768,22.9212,512.145371
114.908863,22.92115,515.165369
114.908962,22.921146,517.932905
114.909041,22.921092,520.193577
114.909148,22.92108,521.848114
114.909244,22.92106,524.696241
114.909339,22.921088,527.870452
114.909434,22.921062,529.168079
114.909535,22.921041,531.211116
114.909638,22.921043,533.11006
114.909719,22.921104,535.407246
114.909786,22.921172,538.900398
114.909884,22.921155,541.26393
114.909982,22.921143,541.81524
114.910086,22.921131,545.982876
114.910178,22.921163,549.417871
114.91027,22.921126,551.494775
114.910369,22.921129,553.564359
114.910467,22.921121,557.088315
114.910554,22.921167,560.066114
114.910658,22.921165,562.120462
114.910568,22.921213,566.681014
114.91047,22.921244,568.130948
114.910391,22.921297,568.79402
114.910302,22.921337,570.945993
114.91024,22.92141,572.633038
114.910341,22.921416,575.640375
114.910423,22.921362,577.657383
114.910518,22.921392,581.302088
114.910607,22.921435,583.655954
114.910704,22.921417,586.756916
114.910808,22.921418,589.785149
114.910895,22.921463,590.376116
114.910956,22.92154,591.158096
114.911057,22.921583,594.893669
114.911149,22.921616,596.327885
114.911249,22.921639,598.117628
114.911349,22.921623,601.807496
114.91144,22.921579,605.208427
114.911537,22.921569,607.371386
114.91163,22.921534,609.10148
114.911735,22.921525,612.564518
114.911833,22.921504,615.277337
114.911921,22.921455,619.378872
114.911987,22.921385,622.531689
114.912082,22.921347,625.469107
114.912165,22.921297,625.938859
114.912269,22.92131,630.793759
114.912367,22.921278,631.483001
114.912466,22.921298,635.345733
114.912546,22.921351,640.388045
114.912644,22.92133,646.957804
114.912738,22.921306,649.763059
114.912816,22.921243,653.037245
114.91291,22.92122,659.08653
114.913002,22.921189,661.700479
114.913097,22.921147,666.729078
114.913155,22.92107,671.149946
114.913237,22.921017,673.235119
114.913248,22.920924,678.514371
114.913335,22.920883,685.57159
114.913435,22.920887,690.477398
114.913524,22.920923,696.383105
114.91362,22.920943,701.729104
114.913666,22.920862,706.255892
114.913758,22.920833,711.42473
114.913797,22.920749,716.345813
114.913898,22.920772,719.837191
114.913996,22.920747,722.928861
114.913962,22.920662,729.439078
114.914061,22.920675,734.352131
114.914157,22.920689,737.624291
114.914257,22.920699,740.845877
114.914228,22.92061,746.11886
114.914239,22.920518,750.033775
114.914308,22.920442,781.695757
114.914263,22.920524,782.405828
114.914322,22.92045,784.687639
114.914263,22.920524,780.518279
114.914306,22.920442,785.119268
